Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
08/08/2015,Burton Albion,Scunthorpe United,2,1,H
08/08/2015,Chesterfield,Barnsley,3,1,H
08/08/2015,Colchester United,Blackpool,2,2,D
08/08/2015,Coventry City,Wigan Athletic,2,0,H
08/08/2015,Crewe Alexandra,Port Vale,0,0,D
08/08/2015,Doncaster Rovers,Bury,1,1,D
08/08/2015,Fleetwood Town,Southend United,1,1,D
08/08/2015,Gillingham,Sheffield United,4,0,H
08/08/2015,Rochdale,Peterborough United,2,0,H
08/08/2015,Shrewsbury Town,Millwall,1,2,A
08/08/2015,Swindon Town,Bradford City,4,1,H
08/08/2015,Walsall,Oldham Athletic,1,1,D
15/08/2015,Barnsley,Burton Albion,1,0,H
15/08/2015,Blackpool,Rochdale,0,2,A
15/08/2015,Bradford City,Shrewsbury Town,1,1,D
15/08/2015,Bury,Swindon Town,2,2,D
15/08/2015,Millwall,Coventry City,0,4,A
15/08/2015,Oldham Athletic,Fleetwood Town,1,0,H
15/08/2015,Peterborough United,Colchester United,2,1,H
15/08/2015,Port Vale,Gillingham,1,1,D
15/08/2015,Scunthorpe United,Crewe Alexandra,2,0,H
15/08/2015,Sheffield United,Chesterfield,2,0,H
15/08/2015,Southend United,Walsall,0,2,A
16/08/2015,Wigan Athletic,Doncaster Rovers,0,0,D
18/08/2015,Peterborough United,Sheffield United,1,3,A
18/08/2015,Blackpool,Burton Albion,1,2,A
18/08/2015,Bradford City,Gillingham,1,2,A
18/08/2015,Bury,Fleetwood Town,3,4,A
18/08/2015,Colchester United,Oldham Athletic,0,0,D
18/08/2015,Coventry City,Crewe Alexandra,3,2,H
18/08/2015,Millwall,Barnsley,2,3,A
18/08/2015,Rochdale,Walsall,1,2,A
18/08/2015,Shrewsbury Town,Chesterfield,1,2,A
18/08/2015,Swindon Town,Port Vale,2,2,D
19/08/2015,Wigan Athletic,Scunthorpe United,3,0,H
19/08/2015,Doncaster Rovers,Southend United,0,0,D
22/08/2015,Barnsley,Bradford City,0,0,D
22/08/2015,Burton Albion,Peterborough United,2,1,H
22/08/2015,Chesterfield,Rochdale,0,0,D
22/08/2015,Crewe Alexandra,Bury,3,3,D
22/08/2015,Fleetwood Town,Colchester United,4,0,H
22/08/2015,Gillingham,Wigan Athletic,2,0,H
22/08/2015,Oldham Athletic,Shrewsbury Town,1,1,D
22/08/2015,Port Vale,Doncaster Rovers,3,0,H
22/08/2015,Scunthorpe United,Millwall,0,0,D
22/08/2015,Sheffield United,Blackpool,2,0,H
22/08/2015,Southend United,Swindon Town,0,1,A
22/08/2015,Walsall,Coventry City,2,1,H
29/08/2015,Blackpool,Walsall,0,4,A
29/08/2015,Bradford City,Port Vale,1,0,H
29/08/2015,Bury,Oldham Athletic,1,1,D
29/08/2015,Colchester United,Scunthorpe United,2,2,D
29/08/2015,Doncaster Rovers,Fleetwood Town,2,0,H
29/08/2015,Millwall,Chesterfield,0,2,A
29/08/2015,Peterborough United,Gillingham,1,1,D
29/08/2015,Rochdale,Barnsley,3,0,H
29/08/2015,Shrewsbury Town,Burton Albion,0,1,A
29/08/2015,Swindon Town,Sheffield United,0,2,A
29/08/2015,Wigan Athletic,Crewe Alexandra,1,0,H
31/08/2015,Coventry City,Southend United,2,2,D
05/09/2015,Southend United,Peterborough United,2,1,H
05/09/2015,Barnsley,Shrewsbury Town,1,2,A
05/09/2015,Chesterfield,Wigan Athletic,2,3,A
05/09/2015,Crewe Alexandra,Swindon Town,1,3,A
05/09/2015,Fleetwood Town,Rochdale,1,1,D
05/09/2015,Gillingham,Doncaster Rovers,1,0,H
05/09/2015,Oldham Athletic,Bradford City,1,2,A
05/09/2015,Scunthorpe United,Blackpool,0,1,A
05/09/2015,Walsall,Bury,0,1,A
06/09/2015,Burton Albion,Coventry City,1,2,A
12/09/2015,Walsall,Doncaster Rovers,2,0,H
12/09/2015,Southend United,Shrewsbury Town,0,1,A
12/09/2015,Barnsley,Swindon Town,4,1,H
12/09/2015,Burton Albion,Rochdale,1,0,H
12/09/2015,Chesterfield,Colchester United,3,3,D
12/09/2015,Crewe Alexandra,Millwall,1,3,A
12/09/2015,Fleetwood Town,Bradford City,1,1,D
12/09/2015,Gillingham,Blackpool,2,1,H
12/09/2015,Oldham Athletic,Peterborough United,1,5,A
12/09/2015,Port Vale,Wigan Athletic,3,2,H
12/09/2015,Scunthorpe United,Coventry City,1,0,H
12/09/2015,Sheffield United,Bury,1,3,A
15/09/2015,Port Vale,Millwall,0,2,A
15/09/2015,Sheffield United,Colchester United,2,3,A
19/09/2015,Blackpool,Barnsley,1,1,D
19/09/2015,Bury,Port Vale,1,0,H
19/09/2015,Colchester United,Gillingham,2,1,H
19/09/2015,Coventry City,Chesterfield,1,0,H
19/09/2015,Doncaster Rovers,Oldham Athletic,1,1,D
19/09/2015,Millwall,Southend United,0,2,A
19/09/2015,Peterborough United,Walsall,1,1,D
19/09/2015,Rochdale,Scunthorpe United,2,1,H
19/09/2015,Shrewsbury Town,Crewe Alexandra,0,1,A
19/09/2015,Swindon Town,Burton Albion,0,1,A
19/09/2015,Wigan Athletic,Fleetwood Town,2,1,H
20/09/2015,Bradford City,Sheffield United,2,2,D
26/09/2015,Barnsley,Gillingham,2,0,H
26/09/2015,Bradford City,Peterborough United,0,2,A
26/09/2015,Bury,Coventry City,2,1,H
26/09/2015,Chesterfield,Burton Albion,1,2,A
26/09/2015,Fleetwood Town,Port Vale,1,2,A
26/09/2015,Millwall,Rochdale,3,1,H
26/09/2015,Oldham Athletic,Wigan Athletic,1,1,D
26/09/2015,Sheffield United,Doncaster Rovers,3,1,H
26/09/2015,Shrewsbury Town,Blackpool,2,0,H
26/09/2015,Southend United,Scunthorpe United,2,1,H
26/09/2015,Swindon Town,Colchester United,1,2,A
26/09/2015,Walsall,Crewe Alexandra,1,1,D
29/09/2015,Blackpool,Chesterfield,2,0,H
29/09/2015,Burton Albion,Sheffield United,0,0,D
29/09/2015,Colchester United,Bradford City,2,0,H
29/09/2015,Crewe Alexandra,Southend United,1,2,A
29/09/2015,Doncaster Rovers,Swindon Town,2,2,D
29/09/2015,Gillingham,Fleetwood Town,5,1,H
29/09/2015,Peterborough United,Bury,2,3,A
29/09/2015,Port Vale,Oldham Athletic,1,1,D
